Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
Belgium,1202.74,283.05,3.16,11.07,5,24.11,11.49,6.4,86.4,18.2,3.7,7.25,82.1,173,0,1.6,6.9,98.6,76.807,4192.436,8.187,0.947641541,17.58,31.06,80
Czech Republic,1317.19,207.42,4.07,8.56,4.04,16.4,10.4,7,81.4,10.6,2.6,6.71,79.3,234,7.1,5.1,14.2,100,81.801,2795.55,6.409,0.130357637,16.1,28.72,80
Finland,1082.82,291.02,3.21,14.26,2.61,16.3,28.8,6.8,88.5,13,2.1,8.84,82.1,176,25.7,4.2,24.7,100,77.822,3547.541,7.123,0.490475318,11.9,81.84,100
France,1372.91,247.26,3.17,11.07,3,18.17,15.38,5.6,86.7,17.3,3.8,5.84,82.9,153,12.7,4.4,23.9,99.9,83.708,4414.98,9.302,0.583012888,9.52,40.35,80
Germany,1061.8,314.81,4.39,13.95,5.95,35.33,34.47,8.3,86,18.3,3.2,3.61,81.4,175,13.2,4.8,21.3,89.5,84.603,5514.432,9.896,1.082554755,12.32,54.34,100
Hungary,969.34,147.06,3.49,6.62,4.21,9.42,4.91,13.9,77.3,11,3.6,3.97,76.4,374,14.1,2.9,13.3,94,68.326,1482.511,4.339,0.161444334,15.76,49.99,100
Iceland,962.66,211.34,3.89,15.36,2.27,47.15,19.41,2,89.1,20.2,1.1,6.32,83.2,126,15.2,4.4,33.1,99.6,82.889,3763.782,7.1,0.240315995,11.37,59.63,100
Latvia,1725.76,170.81,3.27,4.39,3.09,37.1,15.15,14.4,76.9,18.3,3.4,3.68,75.5,405,25.9,5.8,25.6,100,60.827,1240.395,4.001,0.386281488,23.51,26.86,70
Luxembourg,1183.71,196.13,2.98,11.72,3.29,16.13,14.52,8.5,86.1,18.16,4.7,5.1,82.7,97,13.3,5.4,35.8,100,84.958,4600.024,4.563,0.581492566,0,10.65,95
Netherlands,1099.74,222.34,3.72,10.69,2.62,14.87,13.84,3.5,86.6,17.3,3.6,3.83,82.2,145,5.3,2.5,17.5,99.9,82.642,4742.984,8.401,0.911430576,15.11,58.58,100
Norway,396.45,266.74,4.97,17.88,3.1,26.37,17.39,3.2,87.2,18.1,2,5.14,83,145,8.7,1.3,3.9,100,85.82,5788.239,9.029,0.488656561,11.33,79.83,100
Poland,689.34,179.16,2.38,5.1,4.35,18.17,9.27,4.7,76.5,14.4,3.8,5.75,78,268,12.7,4.3,25.7,93.4,71.777,1643.195,4.638,0.421279971,10.55,23.88,30
Slovak Republic,877.5,127.7,3.15,5.74,4.85,17.78,9.53,6.3,75.5,11.2,5.1,4.05,77.8,322,5.9,2,7.1,94.6,79.793,1746.719,5.553,0.289131877,17.2,21.73,89
Slovenia,937.47,199.39,3.26,10.28,4.13,18.2,12.45,4.2,83.5,14.8,2.1,6.52,81.6,185,15.6,3.1,22.8,100,72.785,2404.424,6.204,0.419244553,13.79,78.11,100
Sweden,1134.12,241.59,4.32,10.85,1.9,26.17,16.64,3.5,88.8,19.5,2.1,1.6,83.2,140,20.7,3.5,24.4,100,84.885,4712.743,9.27,0.560688717,13.47,38.05,100
United Kingdom,781.4,186.36,2.95,8.2,2.28,9.46,7.23,6.6,85.6,13.3,3.7,5.71,81.4,188,6.6,1.9,16.1,100,78.513,3533.211,7.972,0.306006599,13.07,30.89,99
Type,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
