G,$A_{1}$,$A_{2}$,$A_{3}$,$A_{4}$,$A_{5}$,$A_{6}$,$A_{7}$,$A_{8}$,$A_{9}$,$A_{10}$,$A_{11}$,$A_{12}$,$A_{13}$,$A_{14}$,$A_{15}$,$A_{16}$
,6,11,9,7,3,15,5,14,8,4,1,16,13,10,2,12
$G_{5}$ ,6,11,9,7,3,15,5,14,8,4,1,16,13,10,2,12
$G_{4}$ ,5,11,9,7,6,15,3,14,8,4,1,16,13,10,2,12
$G_{4}$ $G_{5}$ ,5,11,9,7,6,15,3,14,8,4,1,16,13,10,2,12
$G_{3}$ ,7,11,10,6,2,14,5,15,8,4,1,16,13,9,3,12
$G_{3}$ $G_{5}$ ,7,11,10,6,2,14,5,15,8,4,1,16,13,9,3,12
$G_{3}$ $G_{4}$ ,6,11,10,7,3,14,4,15,8,5,1,16,13,9,2,12
$G_{3}$ $G_{4}$ $G_{5}$ ,6,11,10,7,3,14,4,15,8,5,1,16,13,9,2,12
$G_{2}$ ,5,11,12,7,2,16,6,15,8,3,1,14,13,9,4,10
$G_{2}$ $G_{5}$ ,5,11,12,7,2,16,6,15,8,3,1,14,13,9,4,10
$G_{2}$ $G_{4}$ ,4,11,12,7,2,16,6,15,8,3,1,14,13,10,5,9
$G_{2}$ $G_{4}$ $G_{5}$ ,4,11,12,7,2,16,6,15,8,3,1,14,13,10,5,9
$G_{2}$ $G_{3}$ ,7,11,12,5,2,15,6,16,9,3,1,14,13,8,4,10
$G_{2}$ $G_{3}$ $G_{5}$ ,7,11,12,5,2,15,6,16,9,3,1,14,13,8,4,10
$G_{2}$ $G_{3}$ $G_{4}$ ,7,11,12,5,2,15,6,16,9,3,1,14,13,8,4,10
$G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,7,11,12,5,2,15,6,16,9,3,1,14,13,8,4,10
$G_{1}$ ,4,10,11,7,6,15,5,14,8,2,3,16,13,9,1,12
$G_{1}$ $G_{5}$ ,4,10,11,7,6,15,5,14,8,2,3,16,13,9,1,12
$G_{1}$ $G_{4}$ ,4,10,11,6,7,15,5,14,8,2,3,16,13,9,1,12
$G_{1}$ $G_{4}$ $G_{5}$ ,4,10,11,6,7,15,5,14,8,2,3,16,13,9,1,12
$G_{1}$ $G_{3}$ ,7,10,11,6,4,14,5,15,8,2,3,16,13,9,1,12
$G_{1}$ $G_{3}$ $G_{5}$ ,7,10,11,6,4,14,5,15,8,2,3,16,13,9,1,12
$G_{1}$ $G_{3}$ $G_{4}$ ,6,10,11,5,7,14,4,15,8,2,3,16,13,9,1,12
$G_{1}$ $G_{3}$ $G_{4}$ $G_{5}$ ,6,10,11,5,7,14,4,15,8,2,3,16,13,9,1,12
$G_{1}$ $G_{2}$ ,4,10,12,6,5,15,7,16,8,1,2,14,13,9,3,11
$G_{1}$ $G_{2}$ $G_{5}$ ,4,10,12,6,5,15,7,16,8,1,2,14,13,9,3,11
$G_{1}$ $G_{2}$ $G_{4}$ ,3,11,12,5,7,16,6,15,8,1,2,14,13,9,4,10
$G_{1}$ $G_{2}$ $G_{4}$ $G_{5}$ ,3,11,12,5,7,15,6,16,8,1,2,14,13,9,4,10
$G_{1}$ $G_{2}$ $G_{3}$ ,6,10,12,5,4,15,7,16,9,1,2,14,13,8,3,11
$G_{1}$ $G_{2}$ $G_{3}$ $G_{5}$ ,6,10,12,5,4,15,7,16,9,1,2,14,13,8,3,11
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ ,5,11,12,4,6,15,7,16,9,1,2,14,13,8,3,10
$G_{1}$ $G_{2}$ $G_{3}$ $G_{4}$ $G_{5}$ ,5,11,12,4,7,15,6,16,9,1,2,14,13,8,3,10
